Song,Movie,Link,id
Fame - Rerecorded,Fame (Billboard Hot 100 - No 04),https://api.spotify.com/v1/tracks/38JtOksjkWmr9vAylvvqs6,38JtOksjkWmr9vAylvvqs6
Swords Of A Thousand Men,Wunderbar - The Stiff Singles,https://api.spotify.com/v1/tracks/2kOFiPzzlGUhKxXCOh93Ts,2kOFiPzzlGUhKxXCOh93Ts
Life's A Happy Song,The Muppets (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/63OHQ5zebkOIllF9O3372c,63OHQ5zebkOIllF9O3372c
You Sexy Thing,NOW 100 Hits Movies,https://api.spotify.com/v1/tracks/2dKeRjoEILLXsnKGv0gDTy,2dKeRjoEILLXsnKGv0gDTy
"Everybody's Talkin' - From ""Midnight Cowboy""",NOW 100 Hits Movies,https://api.spotify.com/v1/tracks/1QW5t0Xw4NUqcjsXK6JmGs,1QW5t0Xw4NUqcjsXK6JmGs
Edge of Seventeen,Crystal Visions...The Very Best of Stevie Nicks,https://api.spotify.com/v1/tracks/2id8E4WvczfKHB4LHI7Np3,2id8E4WvczfKHB4LHI7Np3
True - Single Edit,True - The Digital E.P.,https://api.spotify.com/v1/tracks/0CsM8VGDi38kusMv3pxyj1,0CsM8VGDi38kusMv3pxyj1
Dancing Lasha Tumbai,Spy (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/1fGamF7D1dRicIRX5Je27x,1fGamF7D1dRicIRX5Je27x
Way Back Into Love,Music And Lyrics - Music From and Inspired By The Motion Picture (International Release),https://api.spotify.com/v1/tracks/0zYP35FfMItfaP6c9gcQZB,0zYP35FfMItfaP6c9gcQZB
"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",The Best Of 1990-2000,https://api.spotify.com/v1/tracks/0uWG5H5PrBOI4e46neKfhB,0uWG5H5PrBOI4e46neKfhB
With a Girl Like You - 2006 Remaster,The Rutles,https://api.spotify.com/v1/tracks/12wfVdO1cq5Yo4KipO3nIX,12wfVdO1cq5Yo4KipO3nIX
I'm Into Something Good - 2008 Remastered Version,The Best of Herman's Hermits (feat. Peter Noone),https://api.spotify.com/v1/tracks/6RLb57sAYgBNbmcAq3F5VF,6RLb57sAYgBNbmcAq3F5VF
"Paint It, Black",Aftermath,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,63T7DJ1AFDD6Bn8VzG6JE8
You Can Leave Your Hat On,Cocker,https://api.spotify.com/v1/tracks/1x9iOd3K1JC6tdjGZJpFgZ,1x9iOd3K1JC6tdjGZJpFgZ
Gone Up In Flames,The Inbetweeners movie,https://api.spotify.com/v1/tracks/3OUqBKPQv3TbM1qDe5Yh8P,3OUqBKPQv3TbM1qDe5Yh8P
"Don't Worry, Be Happy (O.S.T.)",Cocktail (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/1ngmt8WTzBqGjsE7Ks9FMO,1ngmt8WTzBqGjsE7Ks9FMO
Man Or Muppet,The Muppets (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/1JyG5yuwpN0VIi4wbqvDfB,1JyG5yuwpN0VIi4wbqvDfB
"Say You, Say Me",The Definitive Collection,https://api.spotify.com/v1/tracks/1Ih6wTuQems9OkYTzcZdhM,1Ih6wTuQems9OkYTzcZdhM
There You'll Be - 2007 Remaster,The Hits,https://api.spotify.com/v1/tracks/1s2khOWzC99udpUaPICLJI,1s2khOWzC99udpUaPICLJI
"Because You Loved Me (Theme from ""Up Close and Personal"")",All The Way... A Decade Of Song,https://api.spotify.com/v1/tracks/4qhkS0lRL2GgDxpuIr2Mbb,4qhkS0lRL2GgDxpuIr2Mbb
Run to You,The Bodyguard - Original Soundtrack Album,https://api.spotify.com/v1/tracks/6M1M6cRtVkm5d0qTzkSEuK,6M1M6cRtVkm5d0qTzkSEuK
Separate Lives (Love Theme from White Nights),White Nights [Original Motion Picture Soundtrack],https://api.spotify.com/v1/tracks/1PFc4zxEdyKyiUrSRnQEvM,1PFc4zxEdyKyiUrSRnQEvM
Break On Through [To The Other Side] - New Stereo Mix Advanced Resolution,The Doors [40th Anniversary Mixes],https://api.spotify.com/v1/tracks/7rNzap95cCcOafjFtofpBk,7rNzap95cCcOafjFtofpBk
California Dreamin',Forrest Gump - The Soundtrack,https://api.spotify.com/v1/tracks/1jAS2nDu1OTBNb1432z2P3,1jAS2nDu1OTBNb1432z2P3
Sweet Home Alabama,Forrest Gump - The Soundtrack,https://api.spotify.com/v1/tracks/2GdnCIpLAdX8tSwHsXazf4,2GdnCIpLAdX8tSwHsXazf4
Pretty in Pink,Pure... Movies,https://api.spotify.com/v1/tracks/2mZGm1xVwF7H0bVcHWBXO4,2mZGm1xVwF7H0bVcHWBXO4
Waiting for a Star to Fall,Pure... Movies,https://api.spotify.com/v1/tracks/6acPHreHQgF4jCQzLqLov5,6acPHreHQgF4jCQzLqLov5
Girls Just Want to Have Fun,Pure... Movies,https://api.spotify.com/v1/tracks/2xJt2tGwiGOfN7x9uP5kRM,2xJt2tGwiGOfN7x9uP5kRM
Suicide Is Painless,Pure... Movies,https://api.spotify.com/v1/tracks/2bQSP9ZtpTuVhw0gjQJ0lQ,2bQSP9ZtpTuVhw0gjQJ0lQ
Brown Eyed Girl,Pure... Movies,https://api.spotify.com/v1/tracks/17WzMETBQl1NQbuhXMvnGN,17WzMETBQl1NQbuhXMvnGN
"Beauty and the Beast - From ""Beauty and the Beast"" / Duet",Beauty and the Beast,https://api.spotify.com/v1/tracks/1lb36bFPzVYUBER5QatHAY,1lb36bFPzVYUBER5QatHAY
All of the Stars,The Fault In Our Stars: Music From The Motion Picture,https://api.spotify.com/v1/tracks/1vNjkeVrYlT1w0WCQN3fDP,1vNjkeVrYlT1w0WCQN3fDP
My Girl,The Temptations Sing Smokey,https://api.spotify.com/v1/tracks/6RrXd9Hph4hYR4bf3dbM6H,6RrXd9Hph4hYR4bf3dbM6H
Need You Tonight,Kick (Remastered),https://api.spotify.com/v1/tracks/3h04eZTnmFLRMjZajbrp2R,3h04eZTnmFLRMjZajbrp2R
How Do I Live,Songbook: A Collection Of Hits,https://api.spotify.com/v1/tracks/55UDEdpcearZqBPO2aZaGV,55UDEdpcearZqBPO2aZaGV
Born To Be Wild,20th Century Masters : The Millennium Collection: Best of Steppenwolf,https://api.spotify.com/v1/tracks/1nzcKrYRTWZJEwWzyAU8XM,1nzcKrYRTWZJEwWzyAU8XM
Kokomo - 1995 Remaster,Cocktail (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/3eKkcRtq7wW7VCv83OL2GG,3eKkcRtq7wW7VCv83OL2GG
These Boots Are Made For Walkin',OMG! '60s Party,https://api.spotify.com/v1/tracks/2p2wGm94N2NRbjrioWPGU8,2p2wGm94N2NRbjrioWPGU8
(What A) Wonderful World - Mono,The Wonderful World Of Sam Cooke,https://api.spotify.com/v1/tracks/2G0GextMwZJLkNxcSZ7ZJ3,2G0GextMwZJLkNxcSZ7ZJ3
Dude (Looks Like A Lady),Permanent Vacation,https://api.spotify.com/v1/tracks/6gQUbFwwdYXlKdmqRoWKJe,6gQUbFwwdYXlKdmqRoWKJe
Hot Stuff,Bad Girls,https://api.spotify.com/v1/tracks/2zMJN9JvDlvGP4jB03l1Bz,2zMJN9JvDlvGP4jB03l1Bz
Alfie - 2003 Remaster,Beginnings,https://api.spotify.com/v1/tracks/2IqtBxwRgNOt7YWMmulrUZ,2IqtBxwRgNOt7YWMmulrUZ
"America - From ""The Jazz Singer"" Soundtrack",The Jazz Singer (Original Songs From The Motion Picture),https://api.spotify.com/v1/tracks/5mY04rUWixYG9amFzMJDhI,5mY04rUWixYG9amFzMJDhI
Spice Up Your Life,Spiceworld,https://api.spotify.com/v1/tracks/5qGwqO0lkbBXw4xNfzT7SF,5qGwqO0lkbBXw4xNfzT7SF
Beautiful Stranger,Austin Powers: The Spy Who Shagged Me Sndtrk,https://api.spotify.com/v1/tracks/4jRaFkR8dBYwbKXryAI29a,4jRaFkR8dBYwbKXryAI29a
For What It's Worth,Buffalo Springfield,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA,1qRA5BS78u3gME0loMl9AA
Who Can You Trust,Spy (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/2wGJvVVECHyDBlwKloy8D9,2wGJvVVECHyDBlwKloy8D9
Money (That's What I Want) [feat. Awkwafina],Crazy Rich Asians (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/0E64sMhyx2JxXfLSEfAJsC,0E64sMhyx2JxXfLSEfAJsC
Queen of the Night - Radio Edit,The Bodyguard - Original Soundtrack Album,https://api.spotify.com/v1/tracks/7lARcL3Gu0wKcPcQ3t9xiF,7lARcL3Gu0wKcPcQ3t9xiF
Top Of The World,Music From and Inspired by Stuart Little 2,https://api.spotify.com/v1/tracks/0OEU4HjBPILOM5Uxkucnb3,0OEU4HjBPILOM5Uxkucnb3
God Gave Rock 'N' Roll To You II - Live/1992,Bill & Ted's Bogus Journey,https://api.spotify.com/v1/tracks/4PjYBOps1DE9ilb3Artt10,4PjYBOps1DE9ilb3Artt10
Heat of the Moment,The 40 Year-Old Virgin: Original Motion Picture Soundtrack,https://api.spotify.com/v1/tracks/2QjqVWDnOCKUQsBJMKMeFU,2QjqVWDnOCKUQsBJMKMeFU
"Ashes - from ""Deadpool 2"" Motion Picture Soundtrack",Deadpool 2 (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/4hwLzecH1SuTsMN2JyCPGs,4hwLzecH1SuTsMN2JyCPGs
Wild Wild West - Album Version - No Intro,Greatest Hits,https://api.spotify.com/v1/tracks/78ZzF9pK3foniEnK64XzX5,78ZzF9pK3foniEnK64XzX5
It Had to Be You (Big Band and Vocals),When Harry Met Sally... Music From The Motion Picture,https://api.spotify.com/v1/tracks/58Znl2X9CgsghGUZrkEUr4,58Znl2X9CgsghGUZrkEUr4
Takin' Care Of Business,Gold,https://api.spotify.com/v1/tracks/2OURxbygQXOwAMsAHHDooC,2OURxbygQXOwAMsAHHDooC
Feel the Heat,Drums Along the Mohawk,https://api.spotify.com/v1/tracks/5TH75Peu9a0tS3RzhiioQH,5TH75Peu9a0tS3RzhiioQH
Only Solutions,Tron (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/3QoLbBxXd0rDBKsjSq1lnE,3QoLbBxXd0rDBKsjSq1lnE
Any Which Way You Can,It's The World Gone Crazy,https://api.spotify.com/v1/tracks/4llGmqfXPKo2Cil91jgiXS,4llGmqfXPKo2Cil91jgiXS
Turning Japanese,Charlie's Angels - Music From the Motion Picture,https://api.spotify.com/v1/tracks/4Gnw1BcuEZlSDaIb2Botwz,4Gnw1BcuEZlSDaIb2Botwz
Old Time Rock & Roll,Stranger In Town,https://api.spotify.com/v1/tracks/5EOoMWIB9iK4ZpcSex9Ec7,5EOoMWIB9iK4ZpcSex9Ec7
In The Air Tonight - 2015 Remastered,Face Value (Deluxe Editon),https://api.spotify.com/v1/tracks/18AXbzPzBS8Y3AkgSxzJPb,18AXbzPzBS8Y3AkgSxzJPb
Kiss from a Rose,Seal,https://api.spotify.com/v1/tracks/3YKptz29AsOlm7WAVnztBh,3YKptz29AsOlm7WAVnztBh
Sh-Boom (Life Could Be a Dream),Life Could Be a Dream,https://api.spotify.com/v1/tracks/0GqChhBLTIHEr07iKnbb3W,0GqChhBLTIHEr07iKnbb3W
Is She Really Going Out With Him?,Tonight & Forever : The Joe Jackson Collection (2CD Set),https://api.spotify.com/v1/tracks/3P97XnD4osOqR4lRPalNPV,3P97XnD4osOqR4lRPalNPV
It's Probably Me,Ten Summoner's Tales,https://api.spotify.com/v1/tracks/6JZqIYmwDjYcw8nawqst7a,6JZqIYmwDjYcw8nawqst7a
We No Speak Americano - Radio Edit,The Inbetweeners movie,https://api.spotify.com/v1/tracks/2kEZMlnuCMYHjzeKHDQg4B,2kEZMlnuCMYHjzeKHDQg4B
Blitzkrieg Bop - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),https://api.spotify.com/v1/tracks/4KcH1ZRV2W1q7Flq0QqC76,4KcH1ZRV2W1q7Flq0QqC76
Come and Get Your Love - Single Version,Come and Get Your Love,https://api.spotify.com/v1/tracks/7GVUmCP00eSsqc4tzj1sDD,7GVUmCP00eSsqc4tzj1sDD
I Believe I Can Fly,R.,https://api.spotify.com/v1/tracks/2RzJwBCXsS1VnjDm2jKKAa,2RzJwBCXsS1VnjDm2jKKAa
Exhale (Shoop Shoop) - from Waiting to Exhale - Original Soundtrack,Exhale,https://api.spotify.com/v1/tracks/1X3ypzPnyerpZuMqrDFK29,1X3ypzPnyerpZuMqrDFK29
Don't give up on us,David Soul,https://api.spotify.com/v1/tracks/23IWhAK0cYRwnBT5EE8i3u,23IWhAK0cYRwnBT5EE8i3u
What I Like About You,Surf's Up Music From The Motion Picture,https://api.spotify.com/v1/tracks/3FjeRlke6Zix3YFXykQTUD,3FjeRlke6Zix3YFXykQTUD
"Great Unknown - From The Motion Picture “The Call Of The Wild""",Great Unknown (From The Motion Picture “The Call Of The Wild”),https://api.spotify.com/v1/tracks/4u2uQ7G1nzZJ7yHA6Dzg7z,4u2uQ7G1nzZJ7yHA6Dzg7z
YMCA,YMCA,https://api.spotify.com/v1/tracks/57Fb4ssvtUDe00VaxgjhUb,57Fb4ssvtUDe00VaxgjhUb
Peace In Our Life ( Rambo II) First Blood,Stallone On Stallone By Request,https://api.spotify.com/v1/tracks/6jOVYm4ppSYNKDag1Dps5I,6jOVYm4ppSYNKDag1Dps5I
"Because You Loved Me (Theme from ""Up Close and Personal"")",Falling into You,https://api.spotify.com/v1/tracks/28UMiBhn383n9S7GL4tsxD,28UMiBhn383n9S7GL4tsxD
Maniac (Flashdance Version) [Re-Recorded],Flashdance 30th Anniversary,https://api.spotify.com/v1/tracks/6T8ZjCsw5jhUoGkeAx2SEA,6T8ZjCsw5jhUoGkeAx2SEA
The King of Wishful Thinking,Indian Summer,https://api.spotify.com/v1/tracks/4UQLQJu3DNvVkMVglwElU2,4UQLQJu3DNvVkMVglwElU2
Big Gun,Music From The Original Motion Picture Last Action Hero,https://api.spotify.com/v1/tracks/3vyDjJHcpSEuBKJfPC9YAo,3vyDjJHcpSEuBKJfPC9YAo
Summer Song,Yesterday (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/1wCUlLLDYMEoTSKOtcIwZU,1wCUlLLDYMEoTSKOtcIwZU
Girlfriend,The Best Damn Thing (Expanded Edition),https://api.spotify.com/v1/tracks/45hOioMDJktr86iKDHC8gr,45hOioMDJktr86iKDHC8gr
I Can Dream About You,Ultimate 80s Movie Hits,https://api.spotify.com/v1/tracks/5my9BLnFGzvud5NvGFA7Qo,5my9BLnFGzvud5NvGFA7Qo
Too Shy - Extended Version,The Very Best Of Kajagoogoo,https://api.spotify.com/v1/tracks/3ePc9YMjz2xPMpHosrG9t5,3ePc9YMjz2xPMpHosrG9t5
Crazy Train,The Essential Ozzy Osbourne,https://api.spotify.com/v1/tracks/2nKOUDSm0EhVvQWoDyjl27,2nKOUDSm0EhVvQWoDyjl27
"Show Me Heaven - From ""Days Of Thunder"" Soundtrack",Drivetime,https://api.spotify.com/v1/tracks/0smsQNRjaMKjacESbRb3wZ,0smsQNRjaMKjacESbRb3wZ
Absolute Beginners - 2002 Remaster,Absolute Beginners,https://api.spotify.com/v1/tracks/5PBFhuXB9tgBaP31nfbkS5,5PBFhuXB9tgBaP31nfbkS5
Lust For Life,Lust For Life,https://api.spotify.com/v1/tracks/7egQFB1zrDcvy3kdTaKbpc,7egQFB1zrDcvy3kdTaKbpc
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),https://api.spotify.com/v1/tracks/3zHq9ouUJQFQRf3cm1rRLu,3zHq9ouUJQFQRf3cm1rRLu
Something to Talk About,About A Boy Soundtrack,https://api.spotify.com/v1/tracks/19E2YpE9tkHhOdknSEIgHB,19E2YpE9tkHhOdknSEIgHB
Safe,Gravity,https://api.spotify.com/v1/tracks/41ux34KaK6kvPP9PtdAPso,41ux34KaK6kvPP9PtdAPso
Spirit in the Sky,Music From The Motion Picture Michael,https://api.spotify.com/v1/tracks/0Y2SrByf4G3kbq2nBEHQRn,0Y2SrByf4G3kbq2nBEHQRn
Summer in the City - Remastered,Hums Of The Lovin' Spoonful,https://api.spotify.com/v1/tracks/7AzFID6u1b3zIWbd9pb8Dk,7AzFID6u1b3zIWbd9pb8Dk
Stay Here Forever,Sweet And Wild,https://api.spotify.com/v1/tracks/4BaRL9K7SLkEyRGUSTUxTN,4BaRL9K7SLkEyRGUSTUxTN
Hope,Early Man (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/47QeaLiTkjjbeov5MmWJE6,47QeaLiTkjjbeov5MmWJE6
Here Comes the Sun,Bee Movie: Music From The Motion Picture,https://api.spotify.com/v1/tracks/5GaArATWqCuVGrwbAMopWI,5GaArATWqCuVGrwbAMopWI
"Let the River Run (From ""Working Girl"")",50 Best Songs from 80's Movies,https://api.spotify.com/v1/tracks/4zctBPKM56VdoiAG2rvQXK,4zctBPKM56VdoiAG2rvQXK
Lovin' You,Les Fleurs,https://api.spotify.com/v1/tracks/5b1QulLpP5qvPpZ94sFYP9,5b1QulLpP5qvPpZ94sFYP9
Kung Fu Fighting,Kung Fu Fighting,https://api.spotify.com/v1/tracks/7eGAQnxbIHHFtS1p9rmAZ0,7eGAQnxbIHHFtS1p9rmAZ0
Flight Of The Wild Geese,Gold,https://api.spotify.com/v1/tracks/6EH9fhcOwo4apSYETI6XZw,6EH9fhcOwo4apSYETI6XZw
Can't Stop the Music,Can't Stop the Music (Original Soundtrack 1980),https://api.spotify.com/v1/tracks/6Zt8AY95aCa2ZfF2omg3jY,6Zt8AY95aCa2ZfF2omg3jY
SpongeBob SquarePants Theme,The SpongeBob SquarePants Movie-Music From The Movie and More,https://api.spotify.com/v1/tracks/0il663f3f63cvsRJtGmdO2,0il663f3f63cvsRJtGmdO2
Grease - 2007 Remaster,Frankie Valli...Is The Word,https://api.spotify.com/v1/tracks/5Vrczz39CvlD3OGCa6utoA,5Vrczz39CvlD3OGCa6utoA
Back In Time,Greatest Hits: Huey Lewis And The News,https://api.spotify.com/v1/tracks/1lr7QGyV5RohlODzAqnuZA,1lr7QGyV5RohlODzAqnuZA
Disco Inferno - Single Edit,Rhino Hi-Five: The Trammps,https://api.spotify.com/v1/tracks/22ff60cZy4APp7bzESHLR8,22ff60cZy4APp7bzESHLR8
"I Know What Boys Like (From the Motion Picture ""The House Bunny"")","I Know What Boys Like (From the Motion Picture ""The House Bunny"")",https://api.spotify.com/v1/tracks/4rtMqyXhqCMdRXD2Wi6SZG,4rtMqyXhqCMdRXD2Wi6SZG
All My Days,Time Without Consequence,https://api.spotify.com/v1/tracks/7yvxnSAfrtFBtbyauKU8PO,7yvxnSAfrtFBtbyauKU8PO
Last Action Hero,Music From The Original Motion Picture Last Action Hero,https://api.spotify.com/v1/tracks/56DsvAJpKOxZNaP7VJHhty,56DsvAJpKOxZNaP7VJHhty
What's New Pussycat?,What's New Pussycat,https://api.spotify.com/v1/tracks/4HjwGX3pJKJTeOSDpT6GCo,4HjwGX3pJKJTeOSDpT6GCo
Strange Sight,Tinker Bell and the Legend of the NeverBeast,https://api.spotify.com/v1/tracks/0B21ADrX2QX9dPHvdZlRz4,0B21ADrX2QX9dPHvdZlRz4
Run Through The Jungle,Cosmo's Factory,https://api.spotify.com/v1/tracks/6J0AjzrYsPZrQtw6IjErhy,6J0AjzrYsPZrQtw6IjErhy
Every Which Way but Loose - 2009 Remaster,Number One Hits,https://api.spotify.com/v1/tracks/73xcnqBwjnGwAlrfBomLP3,73xcnqBwjnGwAlrfBomLP3
Going Home: Theme Of The Local Hero,Music From Local Hero,https://api.spotify.com/v1/tracks/0wnzuUwUlbnCKixvp9aJZT,0wnzuUwUlbnCKixvp9aJZT
"Brave Souls (From ""Dolphin Tale 2"")","Brave Souls (From ""Dolphin Tale 2"")",https://api.spotify.com/v1/tracks/6tihzXUWEOBNo1Mc0JJMOe,6tihzXUWEOBNo1Mc0JJMOe
Gonna Make You Sweat (Everybody Dance Now),Gonna Make You Sweat,https://api.spotify.com/v1/tracks/36rXHqN7D1ETFhyKXXKs4w,36rXHqN7D1ETFhyKXXKs4w
Bad - 2012 Remaster,Bad 25th Anniversary,https://api.spotify.com/v1/tracks/5lWFrW5T3JtxVCLDb7etPu,5lWFrW5T3JtxVCLDb7etPu
I'll Be Missing You (feat. 112),Bad Boy's 10th Anniversary- The Hits,https://api.spotify.com/v1/tracks/3QHONiXGMGU3z68mQInncF,3QHONiXGMGU3z68mQInncF
"Disco Inferno - LP / 12"" Version",Disco Inferno,https://api.spotify.com/v1/tracks/5jUA1njy3h6ynHLvPdEVHt,5jUA1njy3h6ynHLvPdEVHt
"Will You Be There (Theme from ""Free Willy"")",FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK,https://api.spotify.com/v1/tracks/2rN2WzftSKZzDLFApWECWz,2rN2WzftSKZzDLFApWECWz
The Dirt (Est. 1981) [feat. Machine Gun Kelly],The Dirt Soundtrack,https://api.spotify.com/v1/tracks/4iGBPovu7Hy7TUg6Wk6pjt,4iGBPovu7Hy7TUg6Wk6pjt
Sabotage,Ill Communication,https://api.spotify.com/v1/tracks/0Puj4YlTm6xNzDDADXHMI9,0Puj4YlTm6xNzDDADXHMI9
Mr. Blue Sky,Out of the Blue,https://api.spotify.com/v1/tracks/2RlgNHKcydI9sayD2Df2xp,2RlgNHKcydI9sayD2Df2xp
"All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross","All I Do Is Win (Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",https://api.spotify.com/v1/tracks/0RIHDrcRAXtUlnkvTYPW1a,0RIHDrcRAXtUlnkvTYPW1a
Sharp Dressed Man,Evan Almighty,https://api.spotify.com/v1/tracks/4VZSHRF8znjMhS6zK9XORp,4VZSHRF8znjMhS6zK9XORp
Best of What I Got,Bad English,https://api.spotify.com/v1/tracks/5qQwLn60YoeIr74DbiQ0xq,5qQwLn60YoeIr74DbiQ0xq
In These Shoes,Kinky Boots,https://api.spotify.com/v1/tracks/5jpEMTYcUzkowz9QoQMM1L,5jpEMTYcUzkowz9QoQMM1L
This Means War,Good Music,https://api.spotify.com/v1/tracks/7fZbJhgqvWdmqcviXkKsZe,7fZbJhgqvWdmqcviXkKsZe
Don't Go,Upstairs at Eric's,https://api.spotify.com/v1/tracks/5JOVSWohrjXW0BFTboh8XO,5JOVSWohrjXW0BFTboh8XO
Mister sandman,Greatest Hits,https://api.spotify.com/v1/tracks/433nBELvOOtHlZFUO8mZml,433nBELvOOtHlZFUO8mZml
Money (That's What I Want),Josie and The Pussycats - Music From The Motion Picture,https://api.spotify.com/v1/tracks/67JpSCmcAwJfi8TEfZTmex,67JpSCmcAwJfi8TEfZTmex
No More Lonely Nights (Ballad) - Remastered 1993,Give My Regards To Broad Street,https://api.spotify.com/v1/tracks/3CCBwpqjdar1PG6HHulmD0,3CCBwpqjdar1PG6HHulmD0
SexyBack,FutureSex/LoveSounds,https://api.spotify.com/v1/tracks/3RPsqX9PQ1n2QfJCcb0yEw,3RPsqX9PQ1n2QfJCcb0yEw
"Come On, Let's Go",La Bamba (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/7lAVmqRbm79nGN4auDjJ9b,7lAVmqRbm79nGN4auDjJ9b
Brandy (You're a Fine Girl),Looking Glass,https://api.spotify.com/v1/tracks/2BY7ALEWdloFHgQZG6VMLA,2BY7ALEWdloFHgQZG6VMLA
I Stand Alone,Greatest Hits,https://api.spotify.com/v1/tracks/01ODPXdDiUbUn4YDhbZBY4,01ODPXdDiUbUn4YDhbZBY4
"Say You, Say Me",Dancing On The Ceiling,https://api.spotify.com/v1/tracks/17CPezzLWzvGfpZW6X8XT0,17CPezzLWzvGfpZW6X8XT0
Cock the Hammer,Music From The Original Motion Picture Last Action Hero,https://api.spotify.com/v1/tracks/5JBN1bBkbTZuFqSGUsLwct,5JBN1bBkbTZuFqSGUsLwct
Good Day,Early Man (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/4j2BtYzU5bIHp1zDfdBQcz,4j2BtYzU5bIHp1zDfdBQcz
Running To The Future,Running To The Future,https://api.spotify.com/v1/tracks/31DHddrEbrF7mXFV9gozRH,31DHddrEbrF7mXFV9gozRH
Hate To Say I Told You So,Veni Vidi Vicious,https://api.spotify.com/v1/tracks/6xxXrNJnnsQNLdgNk8S4y8,6xxXrNJnnsQNLdgNk8S4y8
Easy,Commodores,https://api.spotify.com/v1/tracks/1DnSZ9M8uvX0UebR3dmBNI,1DnSZ9M8uvX0UebR3dmBNI
East Bound and Down,The Essential Jerry Reed,https://api.spotify.com/v1/tracks/4ubYnxmt3qW3wZdqMZbqOh,4ubYnxmt3qW3wZdqMZbqOh
Always Look On The Bright Side Of Life,Monty Python Sings,https://api.spotify.com/v1/tracks/4DEcdqqKokU7UAE4wCGQEy,4DEcdqqKokU7UAE4wCGQEy
"Reflection (2020) - From ""Mulan""","Reflection (2020) [From ""Mulan""]",https://api.spotify.com/v1/tracks/437eNQXusBT4q9q3f34oW9,437eNQXusBT4q9q3f34oW9
Cherry Bomb,The Runaways,https://api.spotify.com/v1/tracks/7cdnq45E9aP2XDStHg5vd7,7cdnq45E9aP2XDStHg5vd7
Escape (The Pina Colada Song),Partners In Crime,https://api.spotify.com/v1/tracks/5IMtdHjJ1OtkxbGe4zfUxQ,5IMtdHjJ1OtkxbGe4zfUxQ
Jump Then Fall,Fearless (Platinum Edition),https://api.spotify.com/v1/tracks/4mvQXr3EeckZIBmlcxLqXe,4mvQXr3EeckZIBmlcxLqXe
Bad Reputation,Goodbye Lullaby (Deluxe Edition),https://api.spotify.com/v1/tracks/1rQLtYMGZsb74CjH51iWhq,1rQLtYMGZsb74CjH51iWhq
Groove Is in the Heart,World Clique,https://api.spotify.com/v1/tracks/2He3NOyqtLNE3RQPpeDdSb,2He3NOyqtLNE3RQPpeDdSb
"Weird Science - From ""Weird Science"" Soundtrack",Classic 80s Movie Songs,https://api.spotify.com/v1/tracks/1AMbMn3yvTExSbSyq5h6aR,1AMbMn3yvTExSbSyq5h6aR
"Endless Love - From ""The Endless Love"" Soundtrack",Classic 80s Movie Songs,https://api.spotify.com/v1/tracks/5dLiVwatpvnmQW9zofrPuU,5dLiVwatpvnmQW9zofrPuU
"We Meet Again (Theme from ""Jerry McGuire"")",Jerry Maguire (Music from the Motion Picture),https://api.spotify.com/v1/tracks/0prN2NklU8O8gmS0s9tUXn,0prN2NklU8O8gmS0s9tUXn
I Love L.A.,Trouble In Paradise,https://api.spotify.com/v1/tracks/1pJHnQCWY4hn8ZWuNJ75jt,1pJHnQCWY4hn8ZWuNJ75jt
Tonight I'm Gonna Rock You Tonight,This Is Spinal Tap,https://api.spotify.com/v1/tracks/1oIRVLLjoRhmxX0PtfSrXz,1oIRVLLjoRhmxX0PtfSrXz
I Learned From You - Original Version,Bridge to Terabithia,https://api.spotify.com/v1/tracks/0je5DHqLDXuNGQdd5W5DTL,0je5DHqLDXuNGQdd5W5DTL
Landslide,Fleetwood Mac,https://api.spotify.com/v1/tracks/5ihS6UUlyQAfmp48eSkxuQ,5ihS6UUlyQAfmp48eSkxuQ
"The Power - 7"" Version",SNAP! The Power Greatest Hits,https://api.spotify.com/v1/tracks/0xjYm51yCaVHNiY2Sww2pt,0xjYm51yCaVHNiY2Sww2pt
Never Say Never Again,007 Bond Hits,https://api.spotify.com/v1/tracks/0YcbmWtsfq3LgQwiOFgcDc,0YcbmWtsfq3LgQwiOFgcDc
